"",Arbitragem
Arbitro:,Luciano Oliveira dos Santos (CBF / TO)
Arbitro Assistente 1:,Cristhian Passos Sorence (CBF / GO)
Arbitro Assistente 2:,Marcio Soares Maciel (CBF / GO)
Quarto Arbitro:,Rafael Martins Diniz (CBF / DF)
Assessor:,Valdeci da Silva Ferreira (CBF / DF)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:56Atraso:,,Não Houve Entrada do mandante: 17:00,Atraso:,,Não Houve
Entrada do visitante:,15:54Atraso:,,Não Houve Entrada do visitante: 17:00,Atraso:,,Não Houve
Início 1o Tempo:,16:00 Atraso:,,Não Houve Início do 2o Tempo: 17:01,Atraso:,,Não Houve
Término do 1o Tempo:,16:47 Acréscimo:,,1 min Término do 2o Tempo: 17:52,Acréscimo:,,3 min
Resultado do 1o Tempo: 0 x 0,,,Resultado Final: 0 x 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,15:56,Atraso:,Não Houve Entrada do mandante:,17:00,Atraso:,Não Houve
Início 1o Tempo:,16:00,Atraso:,Não Houve,Início do 2o Tempo:,17:01,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Dennys Rod ...,Dennys Rodrigues,T(g) P,146339,1,Fernando,Fernando Henrique do...,T(g) P,156439
"",,Comissão Técnica,
"",Ceilândia / DF,,Ceará / CE
Tecnico:,Adelson De Almeida - 1259774 DF,Tecnico:,Leandro Caetano De Campos - 006610 SC
Auxiliar Tecnico:,John Kleber Bernardo De Araújo - 4433/G,Auxiliar Tecnico:,Não Relacionado - NÃO
Medico:,André Vieira - 17805 DF,Medico:,Gustavo Pires - 5892 CE
Preparador Fisico:,Edirley Guimarães De Souza - 009271 PR,Preparador Fisico:,Reverson Bastos Pimentel - 034749 SP
Massagista:,Renato Magalhães Dantas - 1269618 DF,Massagista:,Anacleto Pires De Sousa - 510181 CE
"Ocorrências / ObservaçõesNada houve de anormal.Motivo de atraso no início e/ou reinício, e de acréscimos:NADA HOUVE DE ANORMAL.Observações EventuaisNADA HOUVE DE ANORMAL.SubstituiçõesTempo1T/2TEquipeEntrouSaiu15:002TCeará/CE13 - Rafael Cruz Ojer2 - Eric Batista de Goes23:002TCeará/CE16 - Valber Mendes Ferreira10 - Ricardo Dias Acosta25:002TCeilândia/DF14 - Cleber Rezende de Oliveir ...5 - Clecio Nascimento Santos29:002TCeilândia/DF18 - Victor Guilherme dos Sant ...20 - Alisson da Cruz Costa29:002TCeilândia/DF7 - Editacio Vieira de Andrad ...11 - Cassius Loquingen Lima Sa ...34:002TCeará/CE18 - Magno Alves de Araujo9 - Joao Soares da Mota Neto"
"Motivo de atraso no início e/ou reinício, e de acréscimos:"
NADA HOUVE DE ANORMAL.
"Ocorrências / ObservaçõesNada houve de anormal.Motivo de atraso no início e/ou reinício, e de acréscimos:NADA HOUVE DE ANORMAL.Observações EventuaisNADA HOUVE DE ANORMAL.SubstituiçõesTempo1T/2TEquipeEntrouSaiu15:002TCeará/CE13 - Rafael Cruz Ojer2 - Eric Batista de Goes23:002TCeará/CE16 - Valber Mendes Ferreira10 - Ricardo Dias Acosta25:002TCeilândia/DF14 - Cleber Rezende de Oliveir ...5 - Clecio Nascimento Santos29:002TCeilândia/DF18 - Victor Guilherme dos Sant ...20 - Alisson da Cruz Costa29:002TCeilândia/DF7 - Editacio Vieira de Andrad ...11 - Cassius Loquingen Lima Sa ...34:002TCeará/CE18 - Magno Alves de Araujo9 - Joao Soares da Mota Neto",,,,
Ocorrências / Observações,,,,
Nada houve de anormal.,,,,
"Motivo de atraso no início e/ou reinício, e de acréscimos:",,,,
NADA HOUVE DE ANORMAL.,,,,
Observações Eventuais,,,,
NADA HOUVE DE ANORMAL.,,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
15:00,2T,Ceará/CE,13 - Rafael Cruz Ojer,2 - Eric Batista de Goes
23:00,2T,Ceará/CE,16 - Valber Mendes Ferreira,10 - Ricardo Dias Acosta
25:00,2T,Ceilândia/DF,14 - Cleber Rezende de Oliveir ...,5 - Clecio Nascimento Santos
29:00,2T,Ceilândia/DF,18 - Victor Guilherme dos Sant ...,20 - Alisson da Cruz Costa
29:00,2T,Ceilândia/DF,7 - Editacio Vieira de Andrad ...,11 - Cassius Loquingen Lima Sa ...
34:00,2T,Ceará/CE,18 - Magno Alves de Araujo,9 - Joao Soares da Mota Neto
"Ocorrências / ObservaçõesNada houve de anormal.Motivo de atraso no início e/ou reinício, e de acréscimos:NADA HOUVE DE ANORMAL.Observações EventuaisNADA HOUVE DE ANORMAL.SubstituiçõesTempo1T/2TEquipeEntrouSaiu15:002TCeará/CE13 - Rafael Cruz Ojer2 - Eric Batista de Goes23:002TCeará/CE16 - Valber Mendes Ferreira10 - Ricardo Dias Acosta25:002TCeilândia/DF14 - Cleber Rezende de Oliveir ...5 - Clecio Nascimento Santos29:002TCeilândia/DF18 - Victor Guilherme dos Sant ...20 - Alisson da Cruz Costa29:002TCeilândia/DF7 - Editacio Vieira de Andrad ...11 - Cassius Loquingen Lima Sa ...34:002TCeará/CE18 - Magno Alves de Araujo9 - Joao Soares da Mota Neto",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
15:00,2T,Ceará/CE,13 - Rafael Cruz Ojer,2 - Eric Batista de Goes
23:00,2T,Ceará/CE,16 - Valber Mendes Ferreira,10 - Ricardo Dias Acosta
25:00,2T,Ceilândia/DF,14 - Cleber Rezende de Oliveir ...,5 - Clecio Nascimento Santos
29:00,2T,Ceilândia/DF,18 - Victor Guilherme dos Sant ...,20 - Alisson da Cruz Costa
29:00,2T,Ceilândia/DF,7 - Editacio Vieira de Andrad ...,11 - Cassius Loquingen Lima Sa ...
34:00,2T,Ceará/CE,18 - Magno Alves de Araujo,9 - Joao Soares da Mota Neto
"Ocorrências / ObservaçõesNada houve de anormal.Motivo de atraso no início e/ou reinício, e de acréscimos:NADA HOUVE DE ANORMAL.Observações EventuaisNADA HOUVE DE ANORMAL.SubstituiçõesTempo1T/2TEquipeEntrouSaiu15:002TCeará/CE13 - Rafael Cruz Ojer2 - Eric Batista de Goes23:002TCeará/CE16 - Valber Mendes Ferreira10 - Ricardo Dias Acosta25:002TCeilândia/DF14 - Cleber Rezende de Oliveir ...5 - Clecio Nascimento Santos29:002TCeilândia/DF18 - Victor Guilherme dos Sant ...20 - Alisson da Cruz Costa29:002TCeilândia/DF7 - Editacio Vieira de Andrad ...11 - Cassius Loquingen Lima Sa ...34:002TCeará/CE18 - Magno Alves de Araujo9 - Joao Soares da Mota Neto"
Observações Eventuais
NADA HOUVE DE ANORMAL.
