"",Arbitragem
Arbitro:,Ricardo Marques Ribeiro (FIFA / MG)
Arbitro Assistente 1:,Marcio Eustaquio S Santiago (FIFA / MG)
Arbitro Assistente 2:,Kleber Lucio Gil (FIFA / SC)
Quarto Arbitro:,Wagner Reway (ASP-FIFA / MT)
Delegado:,Manoel Serapiao Filho (  / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,21:40Atraso:,,Não Houve Entrada do mandante: 22:52,Atraso:,,Não Houve
Entrada do visitante:,21:48Atraso:,,Não Houve Entrada do visitante: 22:53,Atraso:,,Não Houve
Início 1o Tempo:,21:52 Atraso:,,2 min Início do 2o Tempo: 22:54,Atraso:,,Não Houve
Término do 1o Tempo:,22:39 Acréscimo:,,2 min Término do 2o Tempo: 23:42,Acréscimo:,,3 min
Resultado do 1o Tempo: 0 X 0,,,Resultado do 2o Tempo: 0 X 0,,,
"",,,,,Relação de Jogadores,,,
"",,,Corinthians / SP,,,Grêmio / RS,,
No,,Apelido,Nome Completo,T/R P/A,CBF No Apelido,Nome Completo,T/R P/A,CBF
4,Gil,,Carlos Gilberto do N ...,T P,178854 1 Dida,Nelson de Jesus Silva,T P,117336
5,Ralf,,Ralf de Souza Teles,T P,168387 2 Pará,Marcos Rogerio Ricci...,T P,165065
9,Guerrero,,Jose Paolo Guerrero  ...,T P,420184 5 Souza,Josef de Souza Dias,T P,178096
10,Douglas,,Douglas dos Santos,T P,146817 9 Hernan,Hernan Barcos,T P,402375
11,Marcio,,Marcio Passos de Alb ...,T P,310950 13 Alex,Alex Nicolao Telles,T P,297016
12,Cassio,,Cassio Ramos,T P,166276 15 Matheus,Matheus Simonete Bre...,T P,295548
13,Paulo Andre,,Paulo Andre Cren Benini,T P,155991 16 Cristian,Cristian Miguel Rive...,T P,445292
14,Claudio,,Claudio Andres Del T ...,T P,145220 17 Vargas,Eduardo Jesus Vargas...,T P,430638
16,Igor,,Igor Fernandes da Si ...,T P,320984 26 Ramiro,Ramiro Moschen Benetti,T P,295418
20,Danilo,,Danilo Gabriel de An ...,T P,137978 30 Kleber,Kleber Giacomace de ...,T P,150176
21,Edenilson,,Edenilson Andrade do ...,T P,306270 44 Luiz Rhodo ...,Luiz Rhodolfo Dini G...,T P,169286
7,Alexandre,,Alexandre Rodrigues  ...,R P,177588 7 Elano,Elano Blumer,R P,137518
17,Lucas,,Lucas Roncato Branco,R P,318651 10 Ze Roberto,Jose Roberto da Silv...,R P,120815
18,Ibson,,Ibson Barreto da Silva,R P,150799 12 Marcelo,Marcelo Grohe,R P,168351
22,Danilo,,Danilo Fernandes Batista,R P,165830 18 Wendell,Wendell Nascimento B...,R P,327288
25,Leonardo,,Leonardo Artur de Melo,R P,343349 19 Biteco,Guilherme Bitencourt...,R P,348895
28,Felipe,,Felipe Augusto de Al ...,R P,328813 21 Yuri,Yuri Souza Almeida,R P,349171
30,Paulo Victor,,Paulo Victor de Mene ...,R P,318673 25 Jean Deretti,Jean Alexandre Deretti,R P,317052
31,Romario,,Romario Ricardo da Silva,R P,298911 27 Paulo,Paulo Roberto Moccelin,R P,360467
32,Jocinei,,Jocinei Schad,R P,296075 28 Rafael Thy ...,Rafael Thyere de Alb...,R P,313474
"",,,,,31 Matheus,Matheus Bitencourt d...,R P,347193
"",,,,,33 Lucas,Lucas Heinzen Coelho,R P,344221
"",,,,,34 Moises,Moises Francisco Dal...,R P,293695
"",,Comissão Técnica,
"",Corinthians / SP,,Grêmio / RS
Tecnico:,Adenor Leonardo Bachi - 4010801191,Tecnico:,Renato Portaluppi - 2019607701
Auxiliar Tecnico:,Cleber Marcio Serpa Xavier - 9016261068,Auxiliar Tecnico:,Victor Hugo Signorelli - 0477994995
Medico:,Julio Stancati Filho - 50333,Medico:,Felipe Wildt Do Canto - 21008
Preparador Fisico:,Fabio Mahseredjian - 013325,Preparador Fisico:,Alexandre Pereira Mendes - 8546
Massagista:,Caio Mauricio Sampaio Mello - 40769,Massagista:,Anderson Machado Meurer - 7069194392
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
45:00,INT,Corinthians,,18 - Ibson Barreto da Silva,14 - Claudio Andres Del Transi ...
23:00,2T,Corinthians,,7 - Alexandre Rodrigues da Si ...,9 - Jose Paolo Guerrero Gonza ...
31:00,2T,Grêmio,,27 - Paulo Roberto Moccelin,17 - Eduardo Jesus Vargas Roja ...
32:00,2T,Corinthians,,31 - Romario Ricardo da Silva,10 - Douglas dos Santos
36:00,2T,Grêmio,,7 - Elano Blumer,9 - Hernan Barcos
