"",Arbitragem
Arbitro:,Ricardo Marques Ribeiro (FIFA / MG)
Arbitro Assistente 1:,Carlos Berkenbrock (ESP / SC)
Arbitro Assistente 2:,Carlos Augusto Nogueira Junior (CBF-1 / SP)
Quarto Arbitro:,Alicio Pena Junior (ESP / MG)
Delegado:,Sergio Cristiano Nascimento (  / )
Quinto Arbitro:,Ivan Carlos Bohn (CBF-1 / PR)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,21:42Atraso:,,Não Houve Entrada do mandante: 22:50,Atraso:,,Não Houve
Entrada do visitante:,21:44Atraso:,,Não Houve Entrada do visitante: 22:49,Atraso:,,Não Houve
Início 1o Tempo:,21:50 Atraso:,,Não Houve Início do 2o Tempo: 22:52,Atraso:,,Não Houve
Término do 1o Tempo:,22:37 Acréscimo:,,2 min Término do 2o Tempo: 23:40,Acréscimo:,,3 min
Resultado do 1o Tempo: 1 X 0,,,Resultado Final: 1 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Atlético / PR,,,Grêmio / RS,,
No,Apelido,Nome Completo,T/R P/A,CBF No Apelido,Nome Completo,T/R P/A,CBF
12,Weverton,Weverton Pereira da  ...,T P,169050 1 Dida,Nelson de Jesus Silva,T P,117336
3,Messias,Manoel Messias Silva ...,T P,182423 2 Pará,Marcos Rogerio Ricci...,T P,165065
5,Deivid,Deivid Willian da Silva,T P,182609 4 Werley,Werley Ananias da Silva,T P,172411
22,Everton,Everton Cardoso Silva,T P,178361 5 Souza,Josef de Souza Dias,T P,178096
28,Adilson,Adilson dos Anjos Ol ...,T P,337261 13 Alex,Alex Nicolao Telles,T P,297016
30,Paulo Baier,Paulo Cesar Baier,T P,122631 15 Matheus,Matheus Simonete Bre...,T P,295548
31,Zezinho,Jose Luis dos Santos ...,T P,294712 16 Cristian,Cristian Miguel Rive...,T P,445292
35,Luiz Alber ...,Luiz Alberto da Silv ...,T P,130372 21 Yuri,Yuri Souza Almeida,T P,349171
49,Guilherme,Guilherme Augusto Al ...,T P,311122 33 Lucas,Lucas Heinzen Coelho,T P,344221
77,Ederson,Ederson Alves Ribeir ...,T P,176522 36 Ramiro,Ramiro Moschen Benetti,T P,295418
99,Leonardo,Leonardo Moreira Morais,T P,303922 44 Luiz Rhodo ...,Luiz Rhodolfo Dini G...,T P,169286
2,Jonas,Jonas Jessue da Silv ...,R P,160466 7 Elano,Elano Blumer,R P,137518
8,Joao Paulo,Joao Paulo da Silva,R P,174223 10 Ze Roberto,Jose Roberto da Silv...,R P,120815
9,Ciro,Ciro Henrique Alves  ...,R P,178381 12 Marcelo,Marcelo Grohe,R P,168351
11,Felipe,Felipe de Oliveira Silva,R P,189538 14 Maximiliano,Maximiliano Rodrigue...,R P,444943
18,Nilson,Francinilson Santos  ...,R P,303766 18 Wendell,Wendell Nascimento B...,R P,327288
21,Francisco,Francisco Merida Perez,R P,432122 20 Saimon,Saimon Pains Tormen,R P,188643
23,Douglas,Douglas Coutinho Gom ...,R P,303545 25 Jean Deretti,Jean Alexandre Deretti,R P,317052
33,Aderbar,Aderbar Melo dos San ...,R P,293428 27 Paulo,Paulo Roberto Moccelin,R P,360467
55,Drausio,Drausio Luis Salla Gil,R P,292966 28 Rafael Thy ...,Rafael Thyere de Alb...,R P,313474
"",,,,29 Adriano,Adriano Bispo dos Santos,R P,175513
"",,,,31 Matheus,Matheus Bitencourt d...,R P,347193
"",,,,34 Moises,Moises Francisco Dal...,R P,293695
"Comissão TécnicaAtlético / PRGrêmio / RSTecnico:Vagner Carmo Mancini - 16554885/SPTecnico:Renato Portaluppi - 006254-P/BAAuxiliar Tecnico:Regis Angeli - 10737927/SPAuxiliar Tecnico:Victor Hugo Signorelli - 005605-G/RJMedico:Cristiano Saliba Uliana - 22846Medico:Felipe Wildt Do Canto - 21008/RSPreparador Fisico:Moraci Santanna - 3593/SPPreparador Fisico:Alexandre Pereira Mendes - 008546-G/RJMassagista:Rafael Figueiredo Suassuna - 2178551/DFMassagista:Marco Aurelio Zeilmann - 3025111241/RSSubstituiçõesTempo1T/2TEquipeEntrouSaiu15:002TGrêmio/RS7 - Elano Blumer33 - Lucas Heinzen Coelho26:002TAtlético/PR9 - Ciro Henrique Alves Ferre ...49 - Guilherme Augusto Alves D ...31:002TGrêmio/RS27 - Paulo Roberto Moccelin21 - Yuri Souza Almeida32:002TAtlético/PR8 - Joao Paulo da Silva31 - Jose Luis dos Santos Pint ...41:002TAtlético/PR21 - Francisco Merida Perez30 - Paulo Cesar BaierGolsTempo1T/2TNoTipoNome do JogadorEquipe36:001T49NRGuilherme Augusto Alves DellatorreAtlético/PRNR = Normal | PN = Pênalti | CT = Contra | FT = Falta",,,,,
Comissão Técnica,,,,,
Atlético / PR,Grêmio / RS,,,,
Tecnico:,Vagner Carmo Mancini - 16554885/SP,Tecnico:,Renato Portaluppi - 006254-P/BA,,
Auxiliar Tecnico:,Regis Angeli - 10737927/SP,Auxiliar Tecnico:,Victor Hugo Signorelli - 005605-G/RJ,,
Medico:,Cristiano Saliba Uliana - 22846,Medico:,Felipe Wildt Do Canto - 21008/RS,,
Preparador Fisico:,Moraci Santanna - 3593/SP,Preparador Fisico:,Alexandre Pereira Mendes - 008546-G/RJ,,
Massagista:,Rafael Figueiredo Suassuna - 2178551/DF,Massagista:,Marco Aurelio Zeilmann - 3025111241/RS,,
Substituições,,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu,
15:00,2T,Grêmio/RS,7 - Elano Blumer,33 - Lucas Heinzen Coelho,
26:00,2T,Atlético/PR,9 - Ciro Henrique Alves Ferre ...,49 - Guilherme Augusto Alves D ...,
31:00,2T,Grêmio/RS,27 - Paulo Roberto Moccelin,21 - Yuri Souza Almeida,
32:00,2T,Atlético/PR,8 - Joao Paulo da Silva,31 - Jose Luis dos Santos Pint ...,
41:00,2T,Atlético/PR,21 - Francisco Merida Perez,30 - Paulo Cesar Baier,
Gols,,,,,
Tempo,1T/2T,No,Tipo,Nome do Jogador,Equipe
36:00,1T,49,NR,Guilherme Augusto Alves Dellatorre,Atlético/PR
NR = Normal | PN = Pênalti | CT = Contra | FT = Falta,,,,,
"Comissão TécnicaAtlético / PRGrêmio / RSTecnico:Vagner Carmo Mancini - 16554885/SPTecnico:Renato Portaluppi - 006254-P/BAAuxiliar Tecnico:Regis Angeli - 10737927/SPAuxiliar Tecnico:Victor Hugo Signorelli - 005605-G/RJMedico:Cristiano Saliba Uliana - 22846Medico:Felipe Wildt Do Canto - 21008/RSPreparador Fisico:Moraci Santanna - 3593/SPPreparador Fisico:Alexandre Pereira Mendes - 008546-G/RJMassagista:Rafael Figueiredo Suassuna - 2178551/DFMassagista:Marco Aurelio Zeilmann - 3025111241/RSSubstituiçõesTempo1T/2TEquipeEntrouSaiu15:002TGrêmio/RS7 - Elano Blumer33 - Lucas Heinzen Coelho26:002TAtlético/PR9 - Ciro Henrique Alves Ferre ...49 - Guilherme Augusto Alves D ...31:002TGrêmio/RS27 - Paulo Roberto Moccelin21 - Yuri Souza Almeida32:002TAtlético/PR8 - Joao Paulo da Silva31 - Jose Luis dos Santos Pint ...41:002TAtlético/PR21 - Francisco Merida Perez30 - Paulo Cesar BaierGolsTempo1T/2TNoTipoNome do JogadorEquipe36:001T49NRGuilherme Augusto Alves DellatorreAtlético/PRNR = Normal | PN = Pênalti | CT = Contra | FT = Falta",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
15:00,2T,Grêmio/RS,7 - Elano Blumer,33 - Lucas Heinzen Coelho
26:00,2T,Atlético/PR,9 - Ciro Henrique Alves Ferre ...,49 - Guilherme Augusto Alves D ...
31:00,2T,Grêmio/RS,27 - Paulo Roberto Moccelin,21 - Yuri Souza Almeida
32:00,2T,Atlético/PR,8 - Joao Paulo da Silva,31 - Jose Luis dos Santos Pint ...
41:00,2T,Atlético/PR,21 - Francisco Merida Perez,30 - Paulo Cesar Baier
"Comissão TécnicaAtlético / PRGrêmio / RSTecnico:Vagner Carmo Mancini - 16554885/SPTecnico:Renato Portaluppi - 006254-P/BAAuxiliar Tecnico:Regis Angeli - 10737927/SPAuxiliar Tecnico:Victor Hugo Signorelli - 005605-G/RJMedico:Cristiano Saliba Uliana - 22846Medico:Felipe Wildt Do Canto - 21008/RSPreparador Fisico:Moraci Santanna - 3593/SPPreparador Fisico:Alexandre Pereira Mendes - 008546-G/RJMassagista:Rafael Figueiredo Suassuna - 2178551/DFMassagista:Marco Aurelio Zeilmann - 3025111241/RSSubstituiçõesTempo1T/2TEquipeEntrouSaiu15:002TGrêmio/RS7 - Elano Blumer33 - Lucas Heinzen Coelho26:002TAtlético/PR9 - Ciro Henrique Alves Ferre ...49 - Guilherme Augusto Alves D ...31:002TGrêmio/RS27 - Paulo Roberto Moccelin21 - Yuri Souza Almeida32:002TAtlético/PR8 - Joao Paulo da Silva31 - Jose Luis dos Santos Pint ...41:002TAtlético/PR21 - Francisco Merida Perez30 - Paulo Cesar BaierGolsTempo1T/2TNoTipoNome do JogadorEquipe36:001T49NRGuilherme Augusto Alves DellatorreAtlético/PRNR = Normal | PN = Pênalti | CT = Contra | FT = Falta",,,
Comissão Técnica,,,
Atlético / PR,Grêmio / RS,,
Tecnico:,Vagner Carmo Mancini - 16554885/SP,Tecnico:,Renato Portaluppi - 006254-P/BA
Auxiliar Tecnico:,Regis Angeli - 10737927/SP,Auxiliar Tecnico:,Victor Hugo Signorelli - 005605-G/RJ
