"",Arbitragem
Arbitro:,Claudionor dos Santos Junior (CBF-2 / SE)
Arbitro Assistente 1:,Ivaney Alves de Lima (CBF-2 / SE)
Arbitro Assistente 2:,Daniel Vidal Pimentel (CBF-2 / )
Quarto Arbitro:,Josevaldo Bisarria de Melo (CBF-2 / AL)
Assessor:,Hercules Martins da Silva (ASS / AL)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,20:18Atraso:,,Não Houve Entrada do mandante: 21:32,Atraso:,,Não Houve
Entrada do visitante:,20:20Atraso:,,Não Houve Entrada do visitante: 21:32,Atraso:,,Não Houve
Início 1o Tempo:,20:33 Atraso:,,3 min Início do 2o Tempo: 21:34,Atraso:,,Não Houve
Término do 1o Tempo:,21:19 Acréscimo:,,1 min Término do 2o Tempo: 22:23,Acréscimo:,,4 min
Resultado do 1o Tempo: 1 X 0,,,Resultado Final: 2 X 0,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,20:18,Atraso:,Não Houve Entrada do mandante:,21:32,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Julio Cesar,Julio Cesar Martins,T P,132047,1,Zanaldo,Josinaldo Fernandes ...,T P,179219
"",,Comissão Técnica,
"",C. R. B. / AL,,Rondonopolis / MT
Tecnico:,Eduardo Do Nascimento Souza - 29629069 SP,Tecnico:,Douglas F. Pereira Brito - 2485 G / MT
Auxiliar Tecnico:,Jean Carlos Dos Santos - 200000102980 AL,Auxiliar Tecnico:,Xxxxxxxxxxxx - XXXXXXXXX
Medico:,Orlando Baia - 2461 AL,Medico:,Cleber - 7263 / MT
Preparador Fisico:,Adriano Gomes De Oliveira - 119650 AL,Preparador Fisico:,Cleiton P. Santos - 110025 - 11
Massagista:,Francisco De Assis Rodrigues Miranda - 20022001196558 Massagista:,,Sebastião G. Monteiro - 279323891 - 00
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
06:00,1T,9,PN,Welliton de Moraes Coimbra,,C. R. B./AL
35:00,2T,20,NR,Denilson Martins Nascimento,,C. R. B./AL
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:HOUVE ATRASO DE TRÊS MINUTOS NO INÍCIO DA PARTIDO DEVIDO AO ATRASO DA CHEGADA DA AMBULÂNCIA.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTC. R. B./AL15 - Joao Victor Severino6 - Gleidson Ricardo Brito de ...45:00INTRondonopolis/MT15 - Kaique de Oliveira Araujo ...5 - Leonardo Gharib Pereira d ...13:002TC. R. B./AL20 - Denilson Martins Nascimen ...11 - Marcelo de Souza Maciel20:002TRondonopolis/MT17 - Adinil Junior Oliveira Co ...11 - Welton Freitas da Silva21:002TC. R. B./AL18 - Henrique Dias de Carvalho ...9 - Welliton de Moraes Coimbr ...31:002TRondonopolis/MT16 - Ronaldo Ortega2 - Raymisson Vieira da Silva ..."
"Motivo de atraso no início e/ou reinício, e de acréscimos:"
HOUVE ATRASO DE TRÊS MINUTOS NO INÍCIO DA PARTIDO DEVIDO AO ATRASO DA CHEGADA DA AMBULÂNCIA.
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:HOUVE ATRASO DE TRÊS MINUTOS NO INÍCIO DA PARTIDO DEVIDO AO ATRASO DA CHEGADA DA AMBULÂNCIA.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTC. R. B./AL15 - Joao Victor Severino6 - Gleidson Ricardo Brito de ...45:00INTRondonopolis/MT15 - Kaique de Oliveira Araujo ...5 - Leonardo Gharib Pereira d ...13:002TC. R. B./AL20 - Denilson Martins Nascimen ...11 - Marcelo de Souza Maciel20:002TRondonopolis/MT17 - Adinil Junior Oliveira Co ...11 - Welton Freitas da Silva21:002TC. R. B./AL18 - Henrique Dias de Carvalho ...9 - Welliton de Moraes Coimbr ...31:002TRondonopolis/MT16 - Ronaldo Ortega2 - Raymisson Vieira da Silva ...",,,,
Ocorrências / Observações,,,,
Nada houve de anormal,,,,
"Motivo de atraso no início e/ou reinício, e de acréscimos:",,,,
HOUVE ATRASO DE TRÊS MINUTOS NO INÍCIO DA PARTIDO DEVIDO AO ATRASO DA CHEGADA DA AMBULÂNCIA.,,,,
Observações Eventuais,,,,
NADA HOUVE DE ANORMAL,,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,C. R. B./AL,15 - Joao Victor Severino,6 - Gleidson Ricardo Brito de ...
45:00,INT,Rondonopolis/MT,15 - Kaique de Oliveira Araujo ...,5 - Leonardo Gharib Pereira d ...
13:00,2T,C. R. B./AL,20 - Denilson Martins Nascimen ...,11 - Marcelo de Souza Maciel
20:00,2T,Rondonopolis/MT,17 - Adinil Junior Oliveira Co ...,11 - Welton Freitas da Silva
21:00,2T,C. R. B./AL,18 - Henrique Dias de Carvalho ...,9 - Welliton de Moraes Coimbr ...
31:00,2T,Rondonopolis/MT,16 - Ronaldo Ortega,2 - Raymisson Vieira da Silva ...
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:HOUVE ATRASO DE TRÊS MINUTOS NO INÍCIO DA PARTIDO DEVIDO AO ATRASO DA CHEGADA DA AMBULÂNCIA.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTC. R. B./AL15 - Joao Victor Severino6 - Gleidson Ricardo Brito de ...45:00INTRondonopolis/MT15 - Kaique de Oliveira Araujo ...5 - Leonardo Gharib Pereira d ...13:002TC. R. B./AL20 - Denilson Martins Nascimen ...11 - Marcelo de Souza Maciel20:002TRondonopolis/MT17 - Adinil Junior Oliveira Co ...11 - Welton Freitas da Silva21:002TC. R. B./AL18 - Henrique Dias de Carvalho ...9 - Welliton de Moraes Coimbr ...31:002TRondonopolis/MT16 - Ronaldo Ortega2 - Raymisson Vieira da Silva ...",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,C. R. B./AL,15 - Joao Victor Severino,6 - Gleidson Ricardo Brito de ...
45:00,INT,Rondonopolis/MT,15 - Kaique de Oliveira Araujo ...,5 - Leonardo Gharib Pereira d ...
13:00,2T,C. R. B./AL,20 - Denilson Martins Nascimen ...,11 - Marcelo de Souza Maciel
20:00,2T,Rondonopolis/MT,17 - Adinil Junior Oliveira Co ...,11 - Welton Freitas da Silva
21:00,2T,C. R. B./AL,18 - Henrique Dias de Carvalho ...,9 - Welliton de Moraes Coimbr ...
31:00,2T,Rondonopolis/MT,16 - Ronaldo Ortega,2 - Raymisson Vieira da Silva ...
"Ocorrências / ObservaçõesNada houve de anormalMotivo de atraso no início e/ou reinício, e de acréscimos:HOUVE ATRASO DE TRÊS MINUTOS NO INÍCIO DA PARTIDO DEVIDO AO ATRASO DA CHEGADA DA AMBULÂNCIA.Observações EventuaisNADA HOUVE DE ANORMALSubstituiçõesTempo1T/2TEquipeEntrouSaiu45:00INTC. R. B./AL15 - Joao Victor Severino6 - Gleidson Ricardo Brito de ...45:00INTRondonopolis/MT15 - Kaique de Oliveira Araujo ...5 - Leonardo Gharib Pereira d ...13:002TC. R. B./AL20 - Denilson Martins Nascimen ...11 - Marcelo de Souza Maciel20:002TRondonopolis/MT17 - Adinil Junior Oliveira Co ...11 - Welton Freitas da Silva21:002TC. R. B./AL18 - Henrique Dias de Carvalho ...9 - Welliton de Moraes Coimbr ...31:002TRondonopolis/MT16 - Ronaldo Ortega2 - Raymisson Vieira da Silva ..."
Observações Eventuais
NADA HOUVE DE ANORMAL
