"",Arbitragem
Arbitro:,Andre Luiz de Freitas Castro (ESP / GO)
Arbitro Assistente 1:,Jesmar Benedito Miranda de Paula (CBF-1 / GO)
Arbitro Assistente 2:,Evandro Gomes Ferreira (CBF-1 / GO)
Quarto Arbitro:,Carlos Eduardo Vieira Areas (CBF-2 / SC)
Assessor:,Claudemir Maffessoni (  / SC)
"",,,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,,
Entrada do mandante:,20:56Atraso:,,6 min,Entrada do mandante: 22:02,Atraso:,,Não Houve
Entrada do visitante:,20:54Atraso:,,4 min,Entrada do visitante: 22:02,Atraso:,,Não Houve
Início 1o Tempo:,21:01 Atraso:,,1 min,Início do 2o Tempo: 22:03,Atraso:,,Não Houve
Término do 1o Tempo:,21:48 Acréscimo:,,2 min,Término do 2o Tempo: 22:51,Acréscimo:,,3 min
Resultado do 1o Tempo: 0 X 0,,,,Resultado do 2o Tempo: 3 X 0,,,
No,Apelido,Nome Completo,T/R P/A,CBF
1,Tiago Volpi,Tiago Luis Volpi,T P,291584
""
Boa / MG,,,,,
No,Apelido,Nome Completo,T/R,P/A,CBF
1,Leandro,Leandro Henrique Alcacis,T,P,175803
2,Ciro,Ciro Sena Junior,T,P,156403
3,Airton,Airton Santos de Oli...,T,P,186040
4,Rafinha,Rafael Alves Lomas,T,P,152779
5,Rodrigo,Rodrigo de Souza Fonsec,T,P,293529
6,Andre Asto ...,Andre Junior Izepon,T,P,132934
7,Petros,Petros Matheus dos S...,T,P,178222
8,Joao Roberto,Joao Roberto Custodio,T,P,294996
9,Marcelo,Marcelo Macedo,T,P,150213
10,M Paraiba,Marcelo dos Santos,T,P,118442
11,Luiz Paulo,Luiz Paulo Santana d...,T,P,317236
12,Jonatas,Jonatas Cunegatto,R,P,129304
13,Ceara,Walisson Moreira Far...,R,P,298361
14,Grafite,Weldon da Silva Dias,R,P,185667
15,Vinicius H ...,Vinicius Sarturi Hess,R,P,173391
16,Marcio,Marcio da Silva Gomes,R,P,164348
17,Rafael,Rafael Malaquias Ger...,R,P,173649
18,Caranga,Luiz Fernando da Sil...,R,P,308608
22,Paulo Victor,Paulo Victor Pereira...,R,P,177402
"",,,,,
"",,,,,
"",,,,,
"",,Comissão Técnica,
"",Figueirense / SC,,Boa / MG
Tecnico:,Adilson Dias Batista - 083855-P,Tecnico:,Valdonedo Da Silva Xavier - 9740830
Auxiliar Tecnico:,Bento Do Amaral Sabino Jr - 3860902-5,Auxiliar Tecnico:,Marco Antonio Gomes - 3331330
Medico:,Sergio Eduardo Paruker - 3083,Medico:,Rachid Gadbrm - 34820
Preparador Fisico:,Fabio Lopes Maraston - 008649-G,Preparador Fisico:,Leandro Braz Fernandes - 2025-G
Massagista:,Fabiano Barbosa - 2307415-9,Massagista:,Antonio Marcos De Paula - 6587511
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
14:00,2T,9,NR,Rafael Costa dos Santos,,Figueirense
30:00,2T,20,NR,Ricardo Bueno da Silva,,Figueirense
38:00,2T,20,NR,Ricardo Bueno da Silva,,Figueirense
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
08:00,1T,Figueirense,,15 - Ronaldo Tres,7 - Luan Jose Niedzielski
18:00,1T,Figueirense,,13 - Andre Guerreiro Rocha,15 - Ronaldo Tres
18:00,2T,Boa,,17 - Rafael Malaquias Geremias ...,7 - Petros Matheus dos Santos ...
26:00,2T,Figueirense,,20 - Ricardo Bueno da Silva,9 - Rafael Costa dos Santos
29:00,2T,Boa,,18 - Luiz Fernando da Silva Mo ...,9 - Marcelo Macedo
39:00,2T,Boa,,14 - Weldon da Silva Dias,4 - Rafael Alves Lomas
