"",,Arbitragem
Arbitro:,Renan Roberto de Souza (CBF-1 / PB),
Arbitro Assistente 1:,Kildenn Tadeu Morais de Lucena (CBF-1 / PB),
Arbitro Assistente 2:,Luis Filipe Gonçalves Correa (CBF-1 / PB),
Quarto Arbitro:,Glauco Nunes Feitosa (CBF-2 / CE),
Assessor:,Paulo Silvio dos Santos (ASS / CE),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,20:48Atraso:,,Não Houve Entrada do mandante: 21:59,Atraso:,,Não Houve
Entrada do visitante:,20:48Atraso:,,Não Houve Entrada do visitante: 21:59,Atraso:,,Não Houve
Início 1o Tempo:,21:00 Atraso:,,Não Houve Início do 2o Tempo: 22:01,Atraso:,,Não Houve
Término do 1o Tempo:,21:46 Acréscimo:,,1 min Término do 2o Tempo: 22:50,Acréscimo:,,4 min
Resultado do 1o Tempo: 1 X 0,,,Resultado Final: 2 X 1,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,20:48,Atraso:,Não Houve Entrada do mandante:,21:59,Atraso:,Não Houve
Início 1o Tempo:,21:00,Atraso:,Não Houve,Início do 2o Tempo:,22:01,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Luis,Luis Carlos Dallastella,T P,168281,1,Rafael,Rafael de Carvalho S...,T P,177436
"",,Comissão Técnica,
"",Ceará / CE,,Portuguesa / SP
Tecnico:,Paulo Cesar Lopes De Gusmão - 053595310,Tecnico:,Jose Augusto Borges Do Nascimento - 0213865289
Auxiliar Tecnico:,Franco Rafael Muller - 8091626468,Auxiliar Tecnico:,Xxxxxxxxxxxxxxx - XXXXXXXXXXXX
Medico:,Joaquim Sampaio Garcia Filho - 11323,Medico:,Claudio Lepera - 70055
Preparador Fisico:,Jorge Alberto Pinto Soter - 5113,Preparador Fisico:,Jose Roberto Rivelino Vital - 005183
Massagista:,Anacleto Pires De Sousa - 510181,Massagista:,Dirceu Ferreira De Lima - 18636416
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
08:00,1T,3,NR,Sandro Silva de Souza,,Ceará/CE
16:00,2T,11,NR,Matheus Isaias dos Santos,,Portuguesa/SP
18:00,2T,3,CT,Brinner Henrique Santos Souza,,Portuguesa/SP
"",,,,Substituições,,
Tempo,1T/2T,,Equipe,Entrou,,Saiu
+1:00,2T,Ceará/CE,,14 - Wellington Carvalho dos S ...,4 - Diego Ivo Pires,
21:00,2T,Portuguesa/SP,,18 - Jean Mota Oliveira de Sou ...,5 - Renan Paulino de Souza,
25:00,2T,Portuguesa/SP,,17 - Janio Daniel do Nasciment ...,9 - Luan Viana Patrocinio,
34:00,2T,Ceará/CE,,17 - Felipe da Silva Amorim,10 - Eduardo Antonio Machado T ...,
35:00,2T,Portuguesa/SP,,16 - Domivanio Alves de Suza J ...,10 - Leonardo Fabricio Soares  ...,
45:00,2T,Ceará/CE,,16 - Leandro de Medeiros Silva ...,8 - Ricardo Dias Acosta,
