"",Arbitragem
Arbitro:,Diego Almeida Real (ASP-FIFA / RS)
Arbitro Assistente 1:,Alexandre A Pruinelli Kleiniche (CBF-1 / RS)
Arbitro Assistente 2:,Leirson Peng Martins (CBF-1 / RS)
Quarto Arbitro:,Breno Veira Souza (CBF-2 / GO)
Assessor:,Urias Crescente Alves Junior (ASS / GO)
Delegado Local:,Adalberto Grecco (000 / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,21:20Atraso:,,Não Houve Entrada do mandante: 22:29,Atraso:,,Não Houve
Entrada do visitante:,21:20Atraso:,,Não Houve Entrada do visitante: 22:29,Atraso:,,Não Houve
Início 1o Tempo:,21:30 Atraso:,,Não Houve Início do 2o Tempo: 22:31,Atraso:,,Não Houve
Término do 1o Tempo:,22:16 Acréscimo:,,1 min Término do 2o Tempo: 23:19,Acréscimo:,,3 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Goiás / GO,,,Paysandu / PA,,
No,Apelido,Nome Completo,T/R P/A,CBF No Apelido,Nome Completo,T/R P/A,CBF
1,Renan,Renan Brito Soares,T P,155703 1 Emerson,Emerson Jose da Conc...,T P,145650
2,Johnathan,Johnathan Carlos Pereira,T P,346994 3 Fernando,Fernando Lombardi,T P,140899
3,Wesley,Wesley Ladeira Matos,T P,306551 4 Gilvan,Gilvan Souza Correa,T P,188660
4,Anderson,Anderson Aparecido S ...,T P,178500 5 Ricardo,Ricardo da Silva Guerra,T P,178569
5,Willian,Willian Osmar de Oli ...,T P,334881 8 Augusto Re ...,Augusto Oliveira da ...,T P,146969
6,Juninho,Evanildo Borges Barb ...,T P,182684 9 Leandro Ce ...,Leandro de Oliveira ...,T P,340020
7,Rossi,Rosicley Pereira da  ...,T P,314059 11 Fabinho,Fabio da Silva Alves,T P,174372
8,Wendel,Wendel Geraldo Mauri ...,T P,140053 15 Edson Rati ...,Edson Ramos da Silva,T P,167070
9,Carlos,Carlos Eduardo Ferre ...,T P,408134 17 Rafinha,Rafael Eduardo Costa,T P,291468
10,Leonardo d ...,Leonardo de Souza Sena,T P,352625 18 Jhonnatan,Jhonnatan Guimaraes ...,T P,295956
11,Wagner,Wagner Ricardo Silva ...,T P,344955 25 Lucas Siqu ...,Lucas Santos Siqueira,T P,188170
12,Ivan,Gilsivan Soares da Silva,R P,169226 6 Rai,Raimundo Jose Cutrim...,R P,168366
13,Alex,Alex Alves Cardoso,R P,300744 12 Marcos,Marcos Vinicius Frag...,R P,172262
14,Sueliton,Sueliton Pereira de  ...,R P,171745 19 Betinho,Carlos Alberto Santo...,R P,166115
15,Patrick,Patrick Bezerra do N ...,R P,315585 26 Gualberto,Gualberto Luiz da Si...,R P,184894
16,Jefferson,Jefferson Junio Anto ...,R P,400906 36 Leandro,Leandro Carvalho da ...,R P,417861
17,Thalles,Thalles Gabriel Mora ...,R P,428831 37 Mailson,Mailson Francisco de...,R P,293092
18,Rafhael,Rafhael Lucas Olivei ...,R P,309723 38 Domingues,Luiz Gustavo Domingues,R P,304293
19,Jhon,Jhon Cley Jesus Silva,R P,323597 39 Ruan,Ruan Carlos Gomes Co...,R P,332261
20,Cassiano,Cassiano Dias Moreira,R P,181681,,,
21,Higor,Higor Rodrigues Barb ...,R P,296566,,,
27,Leo Lima,Leonardo Lima da Silva,R P,136729,,,
"",,Comissão Técnica
"",Goiás / GO,Paysandu / PA
Fisioterapeuta:,Bruno De Souza Baldo - 3517866601,Técnico: Gilmar Dal Pozzo - 9044247981
Médico:,Bruno Rafael Silva Favaron - 27981834805,Auxiliar Técnico: Luciano Cardozo Borges - 3046693994
Massagista:,Jose Carlos Da Silva Buri - 41891767100,Médico: Rogerio Noronha Fraiha - 6778
Técnico:,Leonardo Rodrigues Conde - 4267590605,Preparador Físico: Ronny Reinaldo Da Silva - 002832-G-SC
Preparador Físico:,Luis Augusto Alvim Alves - 4616593604,Massagista: Alan Francisco Figueiredo Souza - 501663
Preparador De GoleiroM:a rcio Antonio Defendi - 6254465850,,Preparador De GoleiroM:a rcos Muniz Gomes - 1046150965
Auxiliar Técnico:,Renato De Cassio Negrao - 5068242683,
"",,Gols
NÃO HOUVE MARCADORES,,
"",,Cartões Amarelos
Tempo 1T/2T,No Nome do Jogador,Equipe
07:00 1T,18 Jhonnatan Guimaraes Saraiva Teixeira,Paysandu/PA
"","Motivo: A1.24.  Outro motivo (somente neste caso, abriria um campo livre para o árbitro digitar o que quiser) - Puxar e derrubar seu",
"",adversário pela camisa com a bola fora de jogo.,
11:00 1T,15 Edson Ramos da Silva,Paysandu/PA
"",Motivo: A2.  Desaprovar com palavras ou gestos as decisões da arbitragem  - Por reclamar de forma acintosa com palavras das,
"",decisões da arbitragem.,
32:00 2T,38 Luiz Gustavo Domingues,Paysandu/PA
"",Motivo: A1.2.  Dar ou tentar dar uma rasteira ou um calço em um adversário de maneira temerária na disputa da bola  - Por calçar e,
"",derrubar seu adversário em um ataque promissor.,
33:00 1T,3 Fernando Lombardi,Paysandu/PA
"",Motivo: A1.13.  Dar uma entrada contra um adversário de maneira temerária na disputa da bola - Por acertar seu adversário com o pé,
"",de forma temerária.,
35:00 1T,11 Fabio da Silva Alves,Paysandu/PA
"",Motivo: A3.  Retardar o reinício do jogo  - Por retardar o reinicio de jogo em um tiro livre.,
06:00 2T,7 Rosicley Pereira da Silva,Goiás/GO
"",Motivo: A1.7.  Tentar enganar o árbitro simulando uma lesão ou fingindo ter sofrido uma falta (simulação)  - Por simular ter recebido,
"",uma falta,
18:00 1T,11 Wagner Ricardo Silva da Silva,Goiás/GO
"",Motivo: A1.11.  Golpear ou tentar golpear um adversário de maneira temerária na disputa da bola - Acertar seu adversário com o braço,
"",de forma temerária.,
20:00 2T,8 Wendel Geraldo Mauricio E Silva,Goiás/GO
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Paysandu/PA,38 - Luiz Gustavo Domingues,15 - Edson Ramos da Silva
45:00,INT,Goiás/GO,27 - Leonardo Lima da Silva,11 - Wagner Ricardo Silva da S ...
19:00,2T,Paysandu/PA,19 - Carlos Alberto Santos da  ...,9 - Leandro de Oliveira Noron ...
23:00,2T,Goiás/GO,20 - Cassiano Dias Moreira,8 - Wendel Geraldo Mauricio E ...
35:00,2T,Goiás/GO,19 - Jhon Cley Jesus Silva,7 - Rosicley Pereira da Silva ...
41:00,2T,Paysandu/PA,37 - Mailson Francisco de Fari ...,11 - Fabio da Silva Alves
