"",Arbitragem
Arbitro:,Emerson de Almeida Ferreira (ASP-FIFA / MG)
Arbitro Assistente 1:,Marcus Vinicius Gomes (CBF-1 / MG)
Arbitro Assistente 2:,Sidmar dos Santos Meurer (CBF-1 / MG)
Quarto Arbitro:,William Machado Steffen (CBF-2 / SC)
Assessor:,Claudemir Maffessoni (000 / SC)
Delegado Local:,Cristiano Graf (000 / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,19:05Atraso:,,Não Houve Entrada do mandante: 20:15,Atraso:,,Não Houve
Entrada do visitante:,19:05Atraso:,,Não Houve Entrada do visitante: 20:15,Atraso:,,Não Houve
Início 1o Tempo:,19:15 Atraso:,,Não Houve Início do 2o Tempo: 20:16,Atraso:,,Não Houve
Término do 1o Tempo:,20:01 Acréscimo:,,1 min Término do 2o Tempo: 21:03,Acréscimo:,,2 min
Resultado do 1o Tempo: 1 x 1,,,Resultado Final: 1 x 1,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,19:05,Atraso:,Não Houve Entrada do mandante:,20:15,Atraso:,Não Houve
Início 1o Tempo:,19:15,Atraso:,Não Houve,Início do 2o Tempo:,20:16,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Renan,Renan dos Santos,T P,188424,1,Felipe,Felipe Alves Raymundo,T P,177931
"",,Comissão Técnica
"",Avaí / SC,Oeste / SP
Massagista:,Delmar Da Rosa Pereira - 2501208,Técnico: Fernando Diniz Silva - 18775002
Auxiliar Técnico:,Alexandre Irineu Carvalho - 78873584187,Auxiliar Técnico: Eduardo Maciel De Barros - 340079770
Treinador De GoleirosA:n dre Croda Borges - 4695961989,,Médico: Rafael Ferreira Sabino - 20359
Médico:,Rodrigo Pires Bolassel - 12644,Preparador Físico: Wagner Bertelli - 034689G/SP
Auxiliar Técnico:,Paulo Antonio Do Prado Pereira - 17528475,Massagista: Luciano Moreira Rocha - 9062732
Técnico:,Paulo Silas Do Prado Pereira - 146437913,Preparador De GoleiroL:e andro Idalino Alves Porfirio - 25102059
Preparador Físico:,Alexandre Irineu Carvalho - 003861-G/GO,
Preparador De GoleiroA:n dré Croda Borges - 3992696,,Gols
Tempo,1T/2T No Tipo Nome do Jogador,Equipe
07:00,1T 8 NR Renan Carvalho Mota,Oeste/SP
30:00,1T 19 NR Jonatas Goncalves Silva,Avaí/SC
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
29:00,1T,Avaí/SC,,19 - Jonatas Goncalves Silva,2 - Fagner Ironi Daponte
22:00,2T,Avaí/SC,,21 - Taua Ferreira dos Santos,9 - Lucas Heinzen Coelho
27:00,2T,Oeste/SP,,14 - Felipe Rodrigues dos Sant ...,8 - Renan Carvalho Mota
28:00,2T,Avaí/SC,,20 - Caio Cesar da Silva Silve ...,10 - Diego Jardel Koester
36:00,2T,Oeste/SP,,15 - Francis Jose da Silva,10 - Anderson Soares da Silva
41:00,2T,Oeste/SP,,18 - Crysan da Cruz Queiroz Ba ...,6 - Marco da Silva Ignacio
