"",Arbitragem
Arbitro:,Vanderlei Soares de Macedo (CBF-2 / DF)
Arbitro Assistente 1:,Jose Reinaldo Nascimento Junior (CBF-1 / DF)
Arbitro Assistente 2:,Lucas Torquato Guerra (CBF-2 / DF)
Quarto Arbitro:,Wanderson Alves de Sousa (CBF-2 / MG)
Assessor:,Marco Aurelio Lopes dos Santos (ASS / MG)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,18:50Atraso:,,Não Houve Entrada do mandante: 20:02,Atraso:,,Não Houve
Entrada do visitante:,18:49Atraso:,,Não Houve Entrada do visitante: 20:01,Atraso:,,Não Houve
Início 1o Tempo:,19:00 Atraso:,,Não Houve Início do 2o Tempo: 20:03,Atraso:,,Não Houve
Término do 1o Tempo:,19:48 Acréscimo:,,3 min Término do 2o Tempo: 20:51,Acréscimo:,,3 min
Resultado do 1o Tempo: 1 X 1,,,Resultado Final: 1 X 1,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,18:50,Atraso:,Não Houve Entrada do mandante:,20:02,Atraso:,Não Houve
Início 1o Tempo:,19:00,Atraso:,Não Houve,Início do 2o Tempo:,20:03,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Rodrigo,Rodrigo Viana Conceicao,T P,298952,1,Wanderson,Wanderson Ferreira d...,T P,133743
"",,Comissão Técnica,
"",Tupi / MG,,Guarani / SP
Tecnico:,Leonardo Rodrigues Condé - 10289436,Tecnico:,Evaristo De Toledo Piza - 200303521
Auxiliar Tecnico:,Ludyo Magno Santos - 11282570,Auxiliar Tecnico:,Roger Riva Martins - 192424233
Medico:,José Roberto Maranhas Brandão - 16833,Medico:,Marco Aurélio Reis Lopes - 114730
Preparador Fisico:,Luiz Augusto Alvim Alves - 15388,Preparador Fisico:,Thiago Gomes Vegette - 011694
Massagista:,Creso Heleno Cordeiro - 0493327217,Massagista:,Almir Ramos Da Silva - 130540936
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
06:00,1T,4,PN,Raphael Toledo Mauricio,,Tupi/MG
13:00,1T,10,NR,Jose Fernando Fumagalli,,Guarani/SP
"Ocorrências / ObservaçõesExpulsei do banco de suplentes aos 38 minutos do primeiro tempo o auxiliar técnico da equipe guarani fc, sr. roger riva martins, por persistirem contestar com gestos e palavras as marcações da arbitragem sendo por último dizendo as seguintes palavras: ""essa porra desse juiz estáde sacanagem, porra, caralho, ele é muito ruim"". o mesmo saiu do campo de jogo aplaudindo ironicamente o quarto árbitro da partida o sr.wanderson alves de sousa.Motivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos de 03 minutos no primeiro tempo e 03 no segundo, devido reposição de bola, entrada da maca em campo e substituições.Observações EventuaisNADA HOUVE DE ANORMAL.SubstituiçõesTempo1T/2TEquipeEntrouSaiu16:002TTupi/MG17 - Alvaro Rodrigues Vieira J ...7 - Henrique Loureiro dos San ...27:002TTupi/MG20 - Elder Santana Conceição9 - Warley Nascimento de Oliv ...28:002TGuarani/SP17 - Leonardo Augusto Gomes Ar ...9 - Alexandre Capelin E Silva ...33:002TTupi/MG19 - Rogerio Alves Nunes11 - Francisco Hyun Sol Kim35:002TGuarani/SP15 - Pedro Henrique de Souza C ...10 - Jose Fernando Fumagalli38:002TGuarani/SP16 - Jose Ovidio Ramos Junior11 - Renan Carvalho Mota",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
16:00,2T,Tupi/MG,17 - Alvaro Rodrigues Vieira J ...,7 - Henrique Loureiro dos San ...
27:00,2T,Tupi/MG,20 - Elder Santana Conceição,9 - Warley Nascimento de Oliv ...
28:00,2T,Guarani/SP,17 - Leonardo Augusto Gomes Ar ...,9 - Alexandre Capelin E Silva ...
33:00,2T,Tupi/MG,19 - Rogerio Alves Nunes,11 - Francisco Hyun Sol Kim
35:00,2T,Guarani/SP,15 - Pedro Henrique de Souza C ...,10 - Jose Fernando Fumagalli
38:00,2T,Guarani/SP,16 - Jose Ovidio Ramos Junior,11 - Renan Carvalho Mota
"Ocorrências / ObservaçõesExpulsei do banco de suplentes aos 38 minutos do primeiro tempo o auxiliar técnico da equipe guarani fc, sr. roger riva martins, por persistirem contestar com gestos e palavras as marcações da arbitragem sendo por último dizendo as seguintes palavras: ""essa porra desse juiz estáde sacanagem, porra, caralho, ele é muito ruim"". o mesmo saiu do campo de jogo aplaudindo ironicamente o quarto árbitro da partida o sr.wanderson alves de sousa.Motivo de atraso no início e/ou reinício, e de acréscimos:Acréscimos de 03 minutos no primeiro tempo e 03 no segundo, devido reposição de bola, entrada da maca em campo e substituições.Observações EventuaisNADA HOUVE DE ANORMAL.SubstituiçõesTempo1T/2TEquipeEntrouSaiu16:002TTupi/MG17 - Alvaro Rodrigues Vieira J ...7 - Henrique Loureiro dos San ...27:002TTupi/MG20 - Elder Santana Conceição9 - Warley Nascimento de Oliv ...28:002TGuarani/SP17 - Leonardo Augusto Gomes Ar ...9 - Alexandre Capelin E Silva ...33:002TTupi/MG19 - Rogerio Alves Nunes11 - Francisco Hyun Sol Kim35:002TGuarani/SP15 - Pedro Henrique de Souza C ...10 - Jose Fernando Fumagalli38:002TGuarani/SP16 - Jose Ovidio Ramos Junior11 - Renan Carvalho Mota"
Ocorrências / Observações
"Expulsei do banco de suplentes aos 38 minutos do primeiro tempo o auxiliar técnico da equipe guarani fc, sr. roger riva martins, por persistir"
"em contestar com gestos e palavras as marcações da arbitragem sendo por último dizendo as seguintes palavras: ""essa porra desse juiz está"
"de sacanagem, porra, caralho, ele é muito ruim"". o mesmo saiu do campo de jogo aplaudindo ironicamente o quarto árbitro da partida o sr."
wanderson alves de sousa.
