"",Arbitragem
Arbitro:,Emanuel Diniz de Araujo (CBF-2 / PB)
Arbitro Assistente 1:,Marcio Freire Lopes (CBF-2 / PB)
Arbitro Assistente 2:,Luis Filipe Gonçalves Correa (CBF-2 / PB)
Quarto Arbitro:,Claudionor dos Santos Junior (CBF-2 / SE)
Assessor:,Marcony Santos (  / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:59Atraso:,,Não Houve Entrada do mandante: 17:09,Atraso:,,Não Houve
Entrada do visitante:,15:58Atraso:,,Não Houve Entrada do visitante: 17:08,Atraso:,,Não Houve
Início 1o Tempo:,16:07 Atraso:,,7 min Início do 2o Tempo: 17:09,Atraso:,,Não Houve
Término do 1o Tempo:,16:54 Acréscimo:,,2 min Término do 2o Tempo: 17:59,Acréscimo:,,5 min
Resultado do 1o Tempo: 5 X 0,,,Resultado do 2o Tempo: 6 X 1,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,15:59,Atraso:,Não Houve Entrada do mandante:,17:09,Atraso:,Não Houve
Início 1o Tempo:,16:07,Atraso:,7 min,Início do 2o Tempo:,17:09,Atraso:,Não Houve
No,Apelido,Nome Completo,T/R P/A,CBF,No,Apelido,Nome Completo,T/R P/A,CBF
1,Pablo,Pablo Willians Ribei ...,T P,143050,1,Maikon,Maikon Ederth Rocha ...,T P,184867
"",,Comissão Técnica,
"",Sergipe / SE,,Juazeirense / BA
Tecnico:,Givanildo Sales Do Nascimento - 3296210 PE,Tecnico:,Quintino Barbosa De Novais Neto - 3306810
Auxiliar Tecnico:,Caio Cesar Cavalcanti Simoes - 32784031 SE,Auxiliar Tecnico:,-- - --
Medico:,Luiz Alberto Dias De Padua - 1958,Medico:,Jose Marconde Ramos - 520
Preparador Fisico:,Wendel Bastos - 540G/SE,Preparador Fisico:,Railson Sobral Da Silva - 2855/G-BA
Massagista:,Edvaldo Souza Santos - 1118157 SE,Massagista:,Carlos Augusto Da Silva Santos - 824006283
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
10:00,1T,7,NR,Leandro Araujo Kivel,,Sergipe
35:00,1T,11,NR,Fabio Almeida de Jesus,,Sergipe
38:00,1T,10,NR,Rafael Oliveira Silva,,Sergipe
40:00,1T,10,NR,Rafael Oliveira Silva,,Sergipe
+1,1T,7,NR,Leandro Araujo Kivel,,Sergipe
03:00,2T,2,NR,Thoni Jarbas Santos de Amorim,,Juazeirense
23:00,2T,6,PN,David Alisson Araujo Andrade,,Sergipe
"Ocorrências / ObservaçõesNada houve de anormalObservações EventuaisEXPULSEI AOS 18 MINUTOS DO SEGUNDO TEMPO O MASSAGISTA DO JUAZEIRENSE, O SENHOR CARLOS AUGUSTO DA SILVASANTOS, RG 82400628-3, POR TER FEITO USO DO SPRAY DE MASSAGEM ASPERGINDO NA DIREÇÃO DA TORCIDA DO SERGIPE.INFORMO AINDA QUE NO MOMENTO DA EXPULSÃO DO MASSAGISTA DO JUAZEIRENSE FOI ARREMESSADA UMA LATA DECERVEJA PARA DENTRO DO CAMPO DE JOGO PELA TORCIDA DO SERGIPE.SubstituiçõesTempo1T/2TEquipeEntrouSaiu01:002TJuazeirense16 - Augusto Cesar Gomes de Sa ...8 - Rodrigo Rocha dos Santos12:002TSergipe13 - Leonardo Ribeiro de Carva ...8 - Wallace Nascimento de Mor ...28:002TSergipe17 - Francisco Ricardo Azevedo ...7 - Leandro Araujo Kivel37:002TSergipe18 - Willians Ferreira da Silv ...11 - Fabio Almeida de Jesus39:002TJuazeirense17 - Jose Moreno de Sousa Neto ...7 - Jefferson Oliveira de Mou ..."
Observações Eventuais
"EXPULSEI AOS 18 MINUTOS DO SEGUNDO TEMPO O MASSAGISTA DO JUAZEIRENSE, O SENHOR CARLOS AUGUSTO DA SILVA"
"SANTOS, RG 82400628-3, POR TER FEITO USO DO SPRAY DE MASSAGEM ASPERGINDO NA DIREÇÃO DA TORCIDA DO SERGIPE."
INFORMO AINDA QUE NO MOMENTO DA EXPULSÃO DO MASSAGISTA DO JUAZEIRENSE FOI ARREMESSADA UMA LATA DE
CERVEJA PARA DENTRO DO CAMPO DE JOGO PELA TORCIDA DO SERGIPE.
"Ocorrências / ObservaçõesNada houve de anormalObservações EventuaisEXPULSEI AOS 18 MINUTOS DO SEGUNDO TEMPO O MASSAGISTA DO JUAZEIRENSE, O SENHOR CARLOS AUGUSTO DA SILVASANTOS, RG 82400628-3, POR TER FEITO USO DO SPRAY DE MASSAGEM ASPERGINDO NA DIREÇÃO DA TORCIDA DO SERGIPE.INFORMO AINDA QUE NO MOMENTO DA EXPULSÃO DO MASSAGISTA DO JUAZEIRENSE FOI ARREMESSADA UMA LATA DECERVEJA PARA DENTRO DO CAMPO DE JOGO PELA TORCIDA DO SERGIPE.SubstituiçõesTempo1T/2TEquipeEntrouSaiu01:002TJuazeirense16 - Augusto Cesar Gomes de Sa ...8 - Rodrigo Rocha dos Santos12:002TSergipe13 - Leonardo Ribeiro de Carva ...8 - Wallace Nascimento de Mor ...28:002TSergipe17 - Francisco Ricardo Azevedo ...7 - Leandro Araujo Kivel37:002TSergipe18 - Willians Ferreira da Silv ...11 - Fabio Almeida de Jesus39:002TJuazeirense17 - Jose Moreno de Sousa Neto ...7 - Jefferson Oliveira de Mou ...",,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
01:00,2T,Juazeirense,16 - Augusto Cesar Gomes de Sa ...,8 - Rodrigo Rocha dos Santos
12:00,2T,Sergipe,13 - Leonardo Ribeiro de Carva ...,8 - Wallace Nascimento de Mor ...
28:00,2T,Sergipe,17 - Francisco Ricardo Azevedo ...,7 - Leandro Araujo Kivel
37:00,2T,Sergipe,18 - Willians Ferreira da Silv ...,11 - Fabio Almeida de Jesus
39:00,2T,Juazeirense,17 - Jose Moreno de Sousa Neto ...,7 - Jefferson Oliveira de Mou ...
"Ocorrências / ObservaçõesNada houve de anormalObservações EventuaisEXPULSEI AOS 18 MINUTOS DO SEGUNDO TEMPO O MASSAGISTA DO JUAZEIRENSE, O SENHOR CARLOS AUGUSTO DA SILVASANTOS, RG 82400628-3, POR TER FEITO USO DO SPRAY DE MASSAGEM ASPERGINDO NA DIREÇÃO DA TORCIDA DO SERGIPE.INFORMO AINDA QUE NO MOMENTO DA EXPULSÃO DO MASSAGISTA DO JUAZEIRENSE FOI ARREMESSADA UMA LATA DECERVEJA PARA DENTRO DO CAMPO DE JOGO PELA TORCIDA DO SERGIPE.SubstituiçõesTempo1T/2TEquipeEntrouSaiu01:002TJuazeirense16 - Augusto Cesar Gomes de Sa ...8 - Rodrigo Rocha dos Santos12:002TSergipe13 - Leonardo Ribeiro de Carva ...8 - Wallace Nascimento de Mor ...28:002TSergipe17 - Francisco Ricardo Azevedo ...7 - Leandro Araujo Kivel37:002TSergipe18 - Willians Ferreira da Silv ...11 - Fabio Almeida de Jesus39:002TJuazeirense17 - Jose Moreno de Sousa Neto ...7 - Jefferson Oliveira de Mou ...",,,,
Ocorrências / Observações,,,,
Nada houve de anormal,,,,
Observações Eventuais,,,,
"EXPULSEI AOS 18 MINUTOS DO SEGUNDO TEMPO O MASSAGISTA DO JUAZEIRENSE, O SENHOR CARLOS AUGUSTO DA SILVA",,,,
"SANTOS, RG 82400628-3, POR TER FEITO USO DO SPRAY DE MASSAGEM ASPERGINDO NA DIREÇÃO DA TORCIDA DO SERGIPE.",,,,
INFORMO AINDA QUE NO MOMENTO DA EXPULSÃO DO MASSAGISTA DO JUAZEIRENSE FOI ARREMESSADA UMA LATA DE,,,,
CERVEJA PARA DENTRO DO CAMPO DE JOGO PELA TORCIDA DO SERGIPE.,,,,
Substituições,,,,
Tempo,1T/2T,Equipe,Entrou,Saiu
01:00,2T,Juazeirense,16 - Augusto Cesar Gomes de Sa ...,8 - Rodrigo Rocha dos Santos
12:00,2T,Sergipe,13 - Leonardo Ribeiro de Carva ...,8 - Wallace Nascimento de Mor ...
28:00,2T,Sergipe,17 - Francisco Ricardo Azevedo ...,7 - Leandro Araujo Kivel
37:00,2T,Sergipe,18 - Willians Ferreira da Silv ...,11 - Fabio Almeida de Jesus
39:00,2T,Juazeirense,17 - Jose Moreno de Sousa Neto ...,7 - Jefferson Oliveira de Mou ...
"Ocorrências / ObservaçõesNada houve de anormalObservações EventuaisEXPULSEI AOS 18 MINUTOS DO SEGUNDO TEMPO O MASSAGISTA DO JUAZEIRENSE, O SENHOR CARLOS AUGUSTO DA SILVASANTOS, RG 82400628-3, POR TER FEITO USO DO SPRAY DE MASSAGEM ASPERGINDO NA DIREÇÃO DA TORCIDA DO SERGIPE.INFORMO AINDA QUE NO MOMENTO DA EXPULSÃO DO MASSAGISTA DO JUAZEIRENSE FOI ARREMESSADA UMA LATA DECERVEJA PARA DENTRO DO CAMPO DE JOGO PELA TORCIDA DO SERGIPE.SubstituiçõesTempo1T/2TEquipeEntrouSaiu01:002TJuazeirense16 - Augusto Cesar Gomes de Sa ...8 - Rodrigo Rocha dos Santos12:002TSergipe13 - Leonardo Ribeiro de Carva ...8 - Wallace Nascimento de Mor ...28:002TSergipe17 - Francisco Ricardo Azevedo ...7 - Leandro Araujo Kivel37:002TSergipe18 - Willians Ferreira da Silv ...11 - Fabio Almeida de Jesus39:002TJuazeirense17 - Jose Moreno de Sousa Neto ...7 - Jefferson Oliveira de Mou ..."
Ocorrências / Observações
Nada houve de anormal
