"",Arbitragem
Arbitro:,Michael Vinicius Santos Freitas (CBF-2 / SE)
Arbitro Assistente 1:,Rondinelle dos Santos Tavares (CBF-2 / AL)
Arbitro Assistente 2:,Wagner Jose da Silva (CBF-2 / AL)
Quarto Arbitro:,Tiago Nascimento dos Santos (CBF-2 / PE)
Assessor:,Ubirajara Ferraz Jota (ASS / PE)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:55Atraso:,,Não Houve Entrada do mandante: 16:58,Atraso:,,Não Houve
Entrada do visitante:,15:54Atraso:,,Não Houve Entrada do visitante: 16:58,Atraso:,,Não Houve
Início 1o Tempo:,16:00 Atraso:,,Não Houve Início do 2o Tempo: 17:01,Atraso:,,Não Houve
Término do 1o Tempo:,16:46 Acréscimo:,,1 min Término do 2o Tempo: 18:11,Acréscimo:,,3 min
Resultado do 1o Tempo: 1 X 1,,,Resultado Final: 1 X 1,,,
"",,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,
Entrada do mandante:,15:55,Atraso:,Não Houve Entrada do mandante:,16:58,Atraso:,Não Houve
Início 1o Tempo:,16:00,Atraso:,Não Houve,Início do 2o Tempo:,17:01,Atraso:,Não Houve
"",Relação de Jogadores,,
Central / PE,Campinense / PB,,
Horário de Entrega da Relação de Jogadores: 15:00,Horário de Entrega da Relação de Jogadores: 15:15,,
No Apelido Nome Completo T/R P/A,CBF No Apelido Nome Completo,T/R P/A,CBF
1 Juninho Antonio Alves Junior T P,135321 1 Rodrigo Rodrigo Fernando Pac...,T P,156097
2 Adriano Adriano Ferreira de  ... T P,164894 2 Gustavo Jose Gustavo Pereira...,T P,187568
3 Sinval Sinval Victor Silva  ... T P,153864 3 Italo Italo Anderson Duart...,T P,178201
4 Egon Egon Henrique Gomes  ... T P,309368 4 Moacri Moacri Alves Feitosa...,T P,144442
5 Eduardo Eduardo Bruno Marinh ... T P,178042 5 Sidney Sidney Basilio da Silva,T P,150452
6 Jean Jean Paulo Batista d ... T P,146112 6 Panda Marcio Gama Moreira,T P,164658
7 Luiz Ferna ... Luiz Fernando Carval ... T P,177884 7 Marielson Marielson Paulo Tava...,T P,156912
8 Fernando Fernando Pires dos S ... T P,297409 8 Julio Cesar Julio Cesar Zabotto,T P,160355
9 Josimar Josimar Moreira Mato ... T P,371233 9 Ze Paulo Jose Paulo dos Santos,T P,169694
10 Jefferson Jefferson Douglas Da ... T P,316997 10 Bismarck Bismarck Vinicius Fr...,T P,184256
11 Andre Andre Ferreira de Ol ... T P,176633 11 Leo Paraiba Leonilson da Silva M...,T P,307827
12 Beto Carlos Weberton da S ... R P,137022 12 Ivan Ivan Leoncio Amorim,R P,185549
13 Saulo Saulo Pereira do Nas ... R P,292724 14 Silvio Silvio Severino da Silva,R P,188156
14 Erick Erick Cavalcante Silva R P,184466 15 Daylson Daylson Warwyck Sant...,R P,154200
15 Jailton Jailton Jose dos Santos R P,177482 16 Danilo Danilo Moura da Silva,R P,318135
16 Jose Jose Roberto da Silv ... R P,136417 17 Bruno Carpegianni Bruno Vi...,R P,165234
17 Paulo Victor Paulo Victor Pereira ... R P,177402 18 Eduardo Eduardo da Silva Med...,R P,303189
18 João Paulo João Paulo Pereira d ... R P,373724 20 Tiago Tiago Oliveira de Souza,R P,172206
19 Erivelton Marcos Erivelton Ara ... R P,313930 21 Wanderley Wanderley Mesquita B...,R P,151355
20 Fábio Silva Jose Fabio da Silva R P,144156 22 Jonathan Jonathan Rafael da Silva,R P,305820
"",,Comissão Técnica,
"",Central / PE,,Campinense / PB
Tecnico:,Humberto Santos - 1566615,Tecnico:,Natazilio Freitas Nascimento - 4383044
Auxiliar Tecnico:,Janio Fialho - 1629166,Auxiliar Tecnico:,Xxxxxxxxxxx - XXXXXXXX
Medico:,José Reinaldo Medeiros Junior - 13575,Medico:,Bruno H. De Miranda B. Cantarelli - 16039
Preparador Fisico:,Sérgio Leonardo - 000647-G/PE,Preparador Fisico:,Rodrigo Carvalho Soares - 008583-G/RS
Massagista:,Edvanildo Raimundo  - 3958262,Massagista:,Edson Gonçalves Da Luz - 5928279
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
04:00,1T,9,CT,Josimar Moreira Matos de Souza,,Central/PE
12:00,1T,5,NR,Eduardo Bruno Marinho Gomes,,Central/PE
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
45:00,INT,Campinense/PB,21 - Wanderley Mesquita Bastos ...,11 - Leonilson da Silva Maciel ...
45:00,INT,Central/PE,19 - Marcos Erivelton Araújo d ...,10 - Jefferson Douglas Damiao  ...
13:00,2T,Central/PE,20 - Jose Fabio da Silva,9 - Josimar Moreira Matos de  ...
14:00,2T,Campinense/PB,20 - Tiago Oliveira de Souza,9 - Jose Paulo dos Santos
20:00,2T,Central/PE,13 - Saulo Pereira do Nascimen ...,3 - Sinval Victor Silva Santo ...
29:00,2T,Campinense/PB,17 - Carpegianni Bruno Vicente ...,8 - Julio Cesar Zabotto
