"",,Arbitragem
Arbitro:,Rafael Martins Diniz (CBF-2 / DF),
Arbitro Assistente 1:,Luciano Benevides de Sousa (CBF-2 / DF),
Arbitro Assistente 2:,Jose Araujo Sabino (CBF-2 / DF),
Quarto Arbitro:,Luciano Oliveira dos Santos (CBF-1 / TO),
Assessor:,Antonio F de Sousa Parreao (ASS / TO),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,20:27Atraso:,,Não Houve Entrada do mandante: 21:31,Atraso:,,Não Houve
Entrada do visitante:,20:27Atraso:,,Não Houve Entrada do visitante: 21:32,Atraso:,,1 min
Início 1o Tempo:,20:30 Atraso:,,Não Houve Início do 2o Tempo: 21:33,Atraso:,,2 min
Término do 1o Tempo:,21:16 Acréscimo:,,1 min Término do 2o Tempo: 22:22,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Interporto / TO,,,River / PI,,
No,Apelido,Nome Completo T/R P/A,,CBF No Apelido,Nome Completo,T/R P/A,CBF
1,Everton,Everton Ferreira Fer ...,T P,297418 1 Seba,Sebastiao Cesar Ribe...,T P,167216
2,Pedro Erne ...,Pedro Ernesto de Sou ...,T P,186917 2 Indio,Antonio Marcos Santo...,T P,156526
3,Amarildo,Amarildo de Jesus Santos,T P,178085 3 Cleber,Cleber Dias dos Reis,T P,129159
4,Eraldo,Eraldo Antonio,T P,132069 4 Rafael,Rafael Silva de Araujo,T P,160878
5,Hermeson,Hermeson Novais Dourado,T P,167546 5 Indio,Israel da Silva Alves,T P,167797
7,Valdo,Emivaldo Alves dos S ...,T P,143703 6 Marcelo,Marcelo Amarildo de ...,T P,147306
8,Jean,Jean Carlo Carvalho  ...,T P,181185 7 Freitas,Marcos Vitor de Frei...,T P,315912
9,Lourival,Lourival Goncalves,T P,153547 8 Thiago Dias,Thiago Dias Santos,T P,163061
10,Nildo,Nildo Junior Sousa P ...,T P,178789 9 Fabiano,Fabiano Venancio de ...,T P,402085
11,Heder,Heder Alves de Sá,T P,178939 10 Eduardo,Eduardo Souza Reis,T P,161942
13,Gilberto,Gilberto Elias Santiago,T P,303859 11 Geraldo,Geraldo Santana Ferr...,T P,342354
12,Robson,Francisco Robson Cha ...,R P,185220 12 Felipe,Felipe Sanchez de Souza,R P,163968
14,Luciano,Luciano Cipriano da  ...,R P,142328 13 Arilson,Arilson Mello da Silva,R P,146781
15,Fabio,Fabio Barbosa da Fonseca,R P,177649 14 Gabriel,Claudio Gabriel Reim...,R P,392068
16,Wesley,Wesley Xavier Lima,R P,332012 15 Siderval,Siderval Pereira da ...,R P,341134
17,Rodrigo,Rodrigo Leite da Silva,R P,302728 16 Diego,Diego Teixeira Sales,R P,186872
18,Claudinei  ...,Claudinei Reis Souza,R P,138957 17 Thiago,Thiago Nascimento Ba...,R P,172184
19,Luan,Luan Aires de Sousa,R P,372221 18 Warley,Warley Silva dos Santos,R P,129325
20,Lucas,Lucas de Sousa Gomes,R A,460727,,,
21,Thiago,Thiago Henrique Cord ...,R A,433163,,,
22,Everson,Everson Bertoldo da  ...,R A,462604,,,
"",,Comissão Técnica,,
"",Interporto / TO,,,River / PI
Tecnico:,Carlos Magno De Oliveira - 494.893-TO,Tecnico:,X - X,
Auxiliar Tecnico:,X - X,Auxiliar Tecnico:,Jaferson Magno Barbosa Da Silva - 3325239-4-AL,
Medico:,X - X,Medico:,Miguel Angelo Costa Lago - 732-PI,
Preparador Fisico:,Selsimar Maciel - 457-G/AC,Preparador Fisico:,Eduardo Pereira E Silva - 055-G/PI,
Massagista:,Wilson Vaz Rodrigues - 387.315 SSP-TO,Massagista:,Anfrisio Silva Araujo - 1651074-PI,
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
45:00,INT,River/PI,,18 - Warley Silva dos Santos,11 - Geraldo Santana Ferreira  ...
18:00,2T,Interporto/TO,,14 - Luciano Cipriano da Silva ...,10 - Nildo Junior Sousa Pereir ...
25:00,2T,River/PI,,14 - Claudio Gabriel Reimão Go ...,7 - Marcos Vitor de Freitas B ...
26:00,2T,River/PI,,17 - Thiago Nascimento Barbosa ...,10 - Eduardo Souza Reis
31:00,2T,Interporto/TO,,17 - Rodrigo Leite da Silva,5 - Hermeson Novais Dourado
44:00,2T,Interporto/TO,,16 - Wesley Xavier Lima,8 - Jean Carlo Carvalho Maria ...
