"",Arbitragem
Arbitro:,Eduardo de Santana Nunes (CBF-2 / SE)
Arbitro Assistente 1:,Marcelino Castro de Nazare (CBF-1 / PE)
Arbitro Assistente 2:,José Daniel Torres de Araujo (CBF-3 / PE)
Quarto Arbitro:,Gleydson Ferreira Leite (CBF-2 / PE)
Assessor:,Erich Bandeira (ASS / PE)
Delegado Local:,ADETHSON SANTOS LEITE JUNIOR (000 / )
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:50Atraso:,,Não Houve Entrada do mandante: 16:58,Atraso:,,Não Houve
Entrada do visitante:,15:51Atraso:,,Não Houve Entrada do visitante: 16:59,Atraso:,,Não Houve
Início 1o Tempo:,16:00 Atraso:,,Não Houve Início do 2o Tempo: 17:03,Atraso:,,Não Houve
Término do 1o Tempo:,16:48 Acréscimo:,,3 min Término do 2o Tempo: 17:52,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,Relação de Jogadores,,,
"",,Serra Talhada / PE,,,Globo / RN,,
No,Apelido,Nome Completo,T/R P/A,CBF No Apelido,Nome Completo,T/R P/A,CBF
1,Beto,Carlos Weberton da S ...,T P,137022 1 Rafael,Rafael de Jesus Mariano,T P,294558
2,Diogo,Diogo Roberto de Fra ...,T P,302554 2 Glaubert,Glaubert Lopes da Cruz,T P,318433
3,Anderson,Andson Cicero da Silva,T P,373133 3 Emerson,Emerson Souza da Silva,T P,182879
4,Alenilson,Alenilson Dantas de  ...,T P,296145 4 Robson,Robson Freitas da Silva,T P,126203
5,Ramon,Carlos Ramon Bezerra ...,T P,187342 5 Ramon,Ramon Gabriel Santos...,T P,184882
6,Patrick,Patrick dos Santos Silva,T P,363869 6 Renatinho,Renato Jose Franceli...,T P,140072
7,Acrizio,Acrizio Militao de C ...,T P,293090 7 Joziclrey,Jozicley Souza Filgueira,T P,151607
8,Enercino,Enercino Moreira Bezerra,T P,172922 8 Miller,Miller Rodrigues Barbosa,T P,292000
9,Andre,Andre Tavares da Cunha,T P,166228 9 Rodolfo,Rodolfo Luciano Bast...,T P,177624
10,Klayton,Klayton da Silva Santos,T P,169807 10 Renato,Renato Cesar Barbosa...,T P,155843
11,Franca,Francieudo de Souza,T P,174968 11 Romário,José Romário Silva d...,T P,413857
12,Jesus Nata ...,Jesus Natan de Olive ...,R A,506886 12 Danilo,Emmanuel Danilo Clem...,R P,140660
13,Gilberto,Gilberto Francisco M ...,R P,136060 13 Araujo,Adeilton Araujo Cruz,R P,417944
14,Alexandre,Alexandre Henrique R ...,R P,170707 14 Marcelo,Marcelessandro Santi...,R P,186108
15,Ricardo Ba ...,Ricardo Abrao do Nas ...,R P,151287 15 Leomir,Leomir Lucena da Silva,R P,188135
16,Fernando,Fernando Pires dos S ...,R P,297409 16 Fabinho,Fabio Almeida de Jesus,R P,168544
17,Moises,Moises Viana de Freitas,R P,299933 17 Marcel,Marcel Silva Sacramento,R P,164109
18,Lucas,Lucas Henrique Loure ...,R P,404447 18 Rivaldo,Rivaldo Soares Paulo,R P,345448
19,Geovani,Geovani Cortes Gomes,R P,400288 19 Eduardo Rato,Eduardo Vieira do Na...,R P,141876
"",,,,22 Alexandre,Alexandre Rosa Vidal...,R P,157294
"",,Comissão Técnica
"",Serra Talhada / PE,Globo / RN
Técnico:,Alxandre Lima - 1629166,Técnico: Higor César - 1678208
Auxiliar Técnico:,Xxxxxxx - XXXX,Auxiliar Técnico: Aguinaldo Bezerra - 906529
Médico:,Marcelo André De Ferraz Barros - 15089,Médico: Duney Machado Mendez - 2600366
Preparador Físico:,Igor José Valença Tenório  - 1923,Preparador Físico: Lawrence Borba - 000066
Massagista:,Danilo Kleber Pereira Da Silva - 7347263,Massagista: Daniel Lopes Da Silva - 1658821
"",,Gols
NÃO HOUVE MARCADORES,,
"",,Cartões Amarelos
Tempo 1T/2T,No Nome do Jogador,Equipe
18:00 2T,10 Klayton da Silva Santos,Serra Talhada/PE
"",Motivo: Por calçar de maneira temerária o sr.miller rodrigues barbosa n°08.,
26:00 1T,7 Acrizio Militao de Castro,Serra Talhada/PE
"","Motivo: Por segurar pela camisa o sr.miller rodrigues barbosa n°08, impedindo um ataque promissor.",
28:00 1T,8 Enercino Moreira Bezerra,Serra Talhada/PE
"",Motivo: Por calçar de maneira temerária o sr.glauber lopes da cruz n°02.,
41:00 1T,5 Carlos Ramon Bezerra Saraiva,Serra Talhada/PE
"",Motivo: Por segurar pela camisa o sr.miller rodrigues barbosa n°08.,
44:00 1T,3 Andson Cicero da Silva,Serra Talhada/PE
"",Motivo: Por colocar a mão na bola de maneira deliberada.,
08:00 1T,9 Rodolfo Luciano Bastos Augusto,Globo/RN
"","Motivo: Por segurar pela camisa o sr.enercino moreira bezerra n°08, impedindo um ataque promissor.",
29:00 1T,5 Ramon Gabriel Santos do Nascimento,Globo/RN
"","Motivo: Por infringir persistentemente às regras, fazendo faltas consecutivas",
29:00 2T,2 Glaubert Lopes da Cruz,Globo/RN
"",Motivo: Por empurrar o sr.acrizio militão de castro n°07.,
32:00 1T,10 Renato Cesar Barbosa Coutinho,Globo/RN
"","Motivo: Por calçar de maneira temerária o sr. acrizio militão de castro n°07, impedindo uma ataque promissor.",
32:00 2T,15 Leomir Lucena da Silva,Globo/RN
"",Motivo: Por retardar o reinício de jogo.,
36:00 2T,6 Renato Jose Francelino Neto,Globo/RN
"",Motivo: Por reclamar de maneira acintosa das decisões da arbitragem.,
"",,Cartões Vermelhos
Tempo 1T/2T,No Nome do Jogador,
42:00 2T,6 Renato Jose Francelino Neto - Globo/RN,
"",,,Substituições,
Tempo,1T/2T,Equipe,Entrou,Saiu
+1:00,1T,Serra Talhada/PE,13 - Gilberto Francisco Martin ...,2 - Diogo Roberto de Franca P ...
12:00,2T,Globo/RN,15 - Leomir Lucena da Silva,5 - Ramon Gabriel Santos do N ...
19:00,2T,Serra Talhada/PE,19 - Geovani Cortes Gomes,11 - Francieudo de Souza
25:00,2T,Serra Talhada/PE,17 - Moises Viana de Freitas,10 - Klayton da Silva Santos
26:00,2T,Globo/RN,17 - Marcel Silva Sacramento,10 - Renato Cesar Barbosa Cout ...
37:00,2T,Globo/RN,16 - Fabio Almeida de Jesus,11 - José Romário Silva de Sou ...
