"",Arbitragem
Arbitro:,Wales Martins de Souza (CBF-2 / DF)
Arbitro Assistente 1:,Leila Naiara Moreira da Cruz (CBF-2 / DF)
Arbitro Assistente 2:,Jose Araujo Sabino (CBF-2 / DF)
Quarto Arbitro:,Leandro Cunha de Oliveira (CBF-2 / TO)
Assessor:,Antonio F de Sousa Parreao (ASS / TO)
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,18:20Atraso:,,Não Houve Entrada do mandante: 19:33,Atraso:,,Não Houve
Entrada do visitante:,18:22Atraso:,,Não Houve Entrada do visitante: 19:36,Atraso:,,3 min
Início 1o Tempo:,18:30 Atraso:,,Não Houve Início do 2o Tempo: 19:36,Atraso:,,3 min
Término do 1o Tempo:,19:18 Acréscimo:,,3 min Término do 2o Tempo: 20:27,Acréscimo:,,6 min
Resultado do 1o Tempo: 1 X 1,,,Resultado Final: 1 X 3,,,
"",,,,Relação de Jogadores,,
"",,Palmas / TO,,,Princesa do Solimões / AM,
No,Apelido,Nome Completo,T/R P/A,CBF No Apelido,Nome Completo T/R P/A,CBF
1,Coelho,Bruno Roberto Oliveira,T P,346173 1 Raice,Rascifran de Sena Souza T P,166597
2,Edilson,Edilson Jose da Silv ...,T P,402841 2 Joaozinho,Joao Rodrigo Donato T P,164961
3,Moacri,Moacri Alves Feitosa ...,T P,144442 3 Danilo,Danilo Cirqueira Dom... T P,404356
4,Marcos Vin ...,Marcos Vinicius Lamb ...,T P,188077 4 Deurick,Deurick Jhonatan da ... T P,164717
5,Vinicius,Vinicius Andrade de  ...,T P,316909 5 Denis,Denis dos Santos T P,141589
6,Fábio Júnior,Fábio Júnior Jorge d ...,T P,364480 6 Guilherme,Guilherme Roberto Sa... T P,292358
7,Savio,Savio Lima Castro,T P,380759 7 Toró,Alessandro dos Santo... T P,308740
8,Denis,Denis Wiliam Pepe Mo ...,T P,182696 8 Michell,Michell Carvalho Machado T P,166724
9,Thiago,Thiago Seiji Waragaya,T P,307880 9 Jefferson,Jefferson Aparecido ... T P,301740
10,Wagner,Wagner Luiz da Silva,T P,140795 10 Andre,Andre Luiz Leao Lima T P,184762
11,Lucas,Lucas Silva de Oliveira,T P,367363 11 Gelvane,Gelvane Marques do Prado T P,188318
12,Pedro,Pedro Henrique Campa ...,R P,307070 12 Pablo,Pablo Camilo de Souza R P,132551
13,Vinicius,Carlos Vinicius Sant ...,R P,186036 13 Pastor,Alessandro de Souza ... R P,177424
14,Henrique,Henrique Candido da  ...,R P,334768 14 Hitalo,Hitalo Rogerio Coelh... R P,291704
15,Caio Vinic ...,Caio Vinicius Andrad ...,R P,380287 15 Geto,Getulio Silva Souza R P,370367
16,Weverton,Weverton Noleto Felix,R A,405123 16 Amaral,Cleyton da Silva Reis R P,292110
17,Willian,Willian da Silva,R P,380096 17 Dodo,Adonias Lins Santana R P,153861
18,Rodrigo da ...,Rodrigo da Silva Dias,R P,326860 18 Randerson,Randerson Paiva dos ... R P,400404
19,Josemar,Josemar Ferreira da  ...,R P,316733 19 Leonardo,Leonardo Rodrigues T... R P,162647
20,Patrick,Patrick Edson Bonifacio,R P,323267,,
"",,Comissão Técnica
"",Palmas / TO,Princesa do Solimões / AM
Técnico:,Max Sandro Barbosa De Oliveira - 09695126-4 RJ,Técnico: Jose Marcos Rodrigues - 313485 AC
Auxiliar Técnico:,X - X,Auxiliar Técnico: Joaquin Antonio De Melo Filho - 085846095 AM
Médico:,Talita Brunes Feitosa - 12148948 TO,Médico: Joao Protasio Netto - 4132 TO
Preparador Físico:,Oclebio Antonio Da Silva Filho - 052127 SP,Preparador Físico: Alex Brunno Vasconcelos Alexandre - 20977115 AM
Massagista:,Ascanium Alves Arruda - 487974 GO,Massagista: Paulo Gomes Da Silva - 02298104 AM
Preparador De GoleiroD:o uglas Luiz Alves Da Silva - 2536496 DF,,Preparador De GoleiroR:o naldo Rodrigues Cascaes - 2606038
"",,,,,Gols,
Tempo,1T/2T,No,Tipo,Nome do Jogador,,Equipe
11:00,1T,11,NR,Gelvane Marques do Prado,,Princesa do Solimões/AM
35:00,1T,11,NR,Lucas Silva de Oliveira,,Palmas/TO
02:00,2T,8,NR,Michell Carvalho Machado,,Princesa do Solimões/AM
11:00,2T,5,NR,Denis dos Santos,,Princesa do Solimões/AM
"",,,,Substituições,
Tempo,1T/2T,,Equipe,Entrou,Saiu
12:00,2T,Palmas/TO,,15 - Caio Vinicius Andrade Bar ...,10 - Wagner Luiz da Silva
12:00,2T,Palmas/TO,,18 - Rodrigo da Silva Dias,4 - Marcos Vinicius Lambert D ...
22:00,2T,Princesa do Solimões/AM,,14 - Hitalo Rogerio Coelho da  ...,3 - Danilo Cirqueira Domingos ...
25:00,2T,Palmas/TO,,19 - Josemar Ferreira da Silva ...,6 - Fábio Júnior Jorge da Sil ...
30:00,2T,Princesa do Solimões/AM,,17 - Adonias Lins Santana,7 - Alessandro dos Santos Bap ...
35:00,2T,Princesa do Solimões/AM,,15 - Getulio Silva Souza,9 - Jefferson Aparecido de Ar ...
